Asian Economic Journal;1351-3958;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
ASTIN Bulletin: Journal of the International Actuarial Association;0515-0361;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Auditing, A Journal of Practice and Theory;0278-0380;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Australian Economic History Review. An Asia-Pacific Journal of Economic, Business and Social History;0004-8992;;;;;;;;;;;;;;Gestion (2016);Economie (2015);Histoire, Histoire de l’art, Archéologie (2009);Histoire (2012);
Australian Economic Papers;0004-900X;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Australian Economic Review;0004-9018;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Australian Journal of Agricultural and Resource Economics;1364-985X;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
AutrePart. Revue de sciences sociales au sud;1278-3986;;Géographie, Aménagement, Urbanisme (2013);;;;;Anthropologie, Ethnologie (2012);Sociologie, Démographie (2013);;;;;;Gestion (2016);Economie (2015);;;
Bankers, Markets & Investors (ex Banque et Marchés);1167-4946;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Behavioral Research in Accounting;1050-4753;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
BMC Health Services Research;1472-6963;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
British Medical Journal Quality and Safety;2044-5415;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
British Accounting Review;0890-8389;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
British Journal of Industrial Relations;0007-1080;;;;;;;;Sociologie, Démographie (2013);;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
British Journal of Management;1045-3172;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Brookings Papers on Economic Activity;0007-2303;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Brussels Economic Review/Cahiers Economiques de Bruxelles;0008-0195;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Bulletin Français d'Actuariat;1779-7160;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Bulletin of Economic Research;0307-3378;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Bulletin of the World Health Organization;0042-9686;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Business and Economic History;0849-6825;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Business and Information Systems Engineering (wirtschaftsinformatik);1867-0202;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Business and Politics;1469-3569;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Business and Society;0007-6503;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Business Ethics Quarterly;1052-150X;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Business Ethics: A European Review;0962-8770;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Business History;0007-6791;;;;;;;;;;;;;;Gestion (2016);Economie (2015);Histoire, Histoire de l’art, Archéologie (2009);Histoire (2012);
Business History Review;0007-6805;;;;;;;;;;;;;;Gestion (2016);Economie (2015);Histoire, Histoire de l’art, Archéologie (2009);Histoire (2012);
Business Process Management Journal;1463-7154;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Business Strategy and the Environment;0964-4733;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Cahiers d'Economie Politique;0154-8344;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Cahiers scientifiques du transport;1150-8809;;Géographie, Aménagement, Urbanisme (2013);;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Cambridge Journal of Economics;0309-166X;;;;;;Droit (2010);;;;;;;;Gestion (2016);Economie (2015);;;
Canadian Journal of Administrative Sciences - Revue Canadienne des Sciences Administratives;0825-0383;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Canadian Journal of Agricultural Economics;0008-3976;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Canadian Journal of Development Studies;0225-5189;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Canadian Journal of Economics;0008-4085;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Canadian Journal of Regional Science;0705-4580;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Career Development International;1362-0436;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Central European Journal of Operations Research;1435-246X;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
CEPAL Review;0251-2920;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
China Economic Review;1043-951X;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Climate Change Economics;2010-0078;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Climate Policy;1469-3062;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Climatic Change;0165-0009;1573-1480;Géographie, Aménagement, Urbanisme (2013);;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Cliometrica;1863-2505;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Common Market Law Review;0165-0750;;;;;;Droit (2010);;;;;;;;Gestion (2016);Economie (2015);;;
Communications et Stratégies;1157-8637;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Communication of the AIS;1529-3181;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Comparative Economic Studies;0888-7233;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Competition and Change;1024-5294;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Comptabilité, Contrôle, Audit;1262-2788;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Computational Economics;0927-7099;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Computers Industrial Engineering;0360-8352;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Computers and Operations Research;0305-0548;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Concurrences;1773-9578;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Consumption, Markets & Culture;1025-3866;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Contemporary Accounting Research;0823-9150;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Corporate Governance : An International review;0964-8410;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Creativity and Innovation Management;0963-1690;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Critical Perspectives on Accounting;1045-2354;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Critical Perspectives on International Business;1742-2043;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Cross Cultural Management: An International Journal;1352-7606;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Culture and Organization;1475-9551;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Database for Advances in Information Systems;1532-0936;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
De Economist;0013-063X;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Decision Analysis;1545-8490;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Decision Sciences;0011-7315;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Decision Support Systems;0167-9236;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Decisions in Economics and Finance;1593-8883;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Décisions Marketing;0779-7389;;;;;;;;;;;;;STAPS (2012);Gestion (2016);Economie (2015);;;
Demography;0070-3370;;;;;;;;Sociologie, Démographie (2013);;;;;;Gestion (2016);Economie (2015);;;
Development and Change;0012-155X;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Développement durable et Territoires;1772-9971;;Géographie, Aménagement, Urbanisme (2013);;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Discrete Optimization;1572-5286;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Dynamic Games and Applications;2153-0785;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Eastern Economic Journal;0094-5056;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Ecological Economics;0921-8009;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Ecological Modelling;0304-3800;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Econometric Reviews;0747-4938;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Econometric Theory;0266-4666;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Econometrica;0012-9682;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Econometrics Journal;1368-4221;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economic and Industrial Democracy;0143-831X;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economic Change and Restructuring;1573-9414;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economic Development and Cultural Change;0013-0079;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economic Development Quarterly;0891-2424;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economic Geography;0013-0095;;Géographie, Aménagement, Urbanisme (2013);;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economic History of Developing Regions;2078-0389;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economic History Review;0013-0117;;;;;;;;;;;;;;Gestion (2016);Economie (2015);Histoire, Histoire de l’art, Archéologie (2009);Histoire (2012);
Economic Inquiry;0095-2583;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economic Journal;0013-0133;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economic Modelling;0264-9993;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economic Policy;0266-4658;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economic Record;0013-0249;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economic Systems;0939-3625;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economic Theory;0938-2259;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economica;0013-0427;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economics and Philosophy;0266-2671;;;;;Histoire et philosophie des sciences (2012);;;;;Philosophie (2013);;;;Gestion (2016);Economie (2015);Histoire, Histoire de l’art, Archéologie (2009);;
Economics and Politics;0954-1985;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economics Bulletin;1545-2921;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economics Letters;0165-1765;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economics of Education Review;0272-7757;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economics of Governance;1435-6104;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economics of Innovation and New Technology;1043-8599;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economics of Transition;0967-0750;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economics: The Open-Access, Open-Assessment E-Journal;1864-6042;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economie Appliquée;0013-0494;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economie et Institutions;1775-2329;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economie et Prévision;0249-4744;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Économie et Statistique;0336-1454;;;;;;;;Sociologie, Démographie (2013);;;;;;Gestion (2016);Economie (2015);;;
Economie Internationale;1240-8093;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Économie Publique;1373-8496;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economie Rurale;0013-0559;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economies et sociétés;0013-0567;;;;;;;;;;;;;;Gestion (2016);Economie (2015);Histoire, Histoire de l’art, Archéologie (2009);Histoire (2012);
Economies et Sociétés série AF Histoire Économique Quantitative;0068-4864;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Économies et Sociétés série AG Systèmes Agroalimentaires;0068-4899;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economies et Sociétés série K Economie de l'Entreprise;1760-8864;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Economies et Sociétés série KC Etudes critiques en management;2111-8876;;;;;;;;;;;;;;Gestion (2016);;;;
Economy and Society;0308-5147;1469-5766;;Science politique (2011);;;;;Sociologie, Démographie (2013);;;;;;Gestion (2016);Economie (2015);Histoire, Histoire de l’art, Archéologie (2009);Histoire (2012);
Education Economics;0964-5292;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Electronic Commerce Research and Applications;1567-4223;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Electronic Journal of Information Systems Evaluation;1566-6379;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Electronic Markets;1019-6781;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Emerging Markets Review;1566-0141;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Empirical Economics;0377-7332;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Employee Relations;0142-5455;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Energy Economics;0140-9883;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Energy Journal;0195-6574;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Energy Policy;0301-4215;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Energy Studies Review;0843-4379;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Energy Systems;1868-3967;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Enterprise and Society: International Journal of Business History;1467-2227;1467-2235;;;;;;;;;;;;;Gestion (2016);Economie (2015);Histoire, Histoire de l’art, Archéologie (2009);Histoire (2012);
Entrepreneurship and Regional Development;0898-5626;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Entrepreneurship: Theory and Practice;1042-2587;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Entreprises et histoire;1161-2770;1167-2770;;;;;;;;;;;;;Gestion (2016);Economie (2015);Histoire, Histoire de l’art, Archéologie (2009);Histoire (2012);
Environment and Development Economics;1355-770X;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Environment and Planning A: Environment and Planning;0308-518X;1472-3409;Géographie, Aménagement, Urbanisme (2013);;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Environment and Planning B: Planning and Design;0265-8135;1472-3417;Géographie, Aménagement, Urbanisme (2013);;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Environment and Planning C: Government and Policy;0263-774X;1472-3425;Géographie, Aménagement, Urbanisme (2013);;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Environment and Planning D: Society and Space;0263-7758;1472-3433;Géographie, Aménagement, Urbanisme (2013);;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Environmental and Resource Economics;0924-6460;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Environmental Economics;1998-6041;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Environmental Economics and Policy Studies;1432-847X;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Environmental Modelling and Assessment;1420-2026;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Environmental Science and Policy;1462-9011;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Environmental Values;0963-2719;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
European Accounting Review;0963-8180;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
European Business Review;0955-534X;;;;;;Droit (2010);;;;;;;;Gestion (2016);Economie (2015);;;
European Economic Review;0014-2921;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
European Financial Management;1354-7798;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
European Journal of Comparative Economics;1824-2979;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
European Journal of Development Research;0957-8811;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
European Journal of Health Economics;1618-7598;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
European Journal of Industrial Relations;0959-6801;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
European Journal of Information Systems;0960-085X;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
European Journal of Innovation Management;1460-1060;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
European Journal of Law and Economics;0929-1261;;;;;;Droit (2010);;;;;;;;Gestion (2016);Economie (2015);;;
European Journal of Marketing;0309-0566;;;;;;;;;;;;;STAPS (2012);Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
European Journal of Operational Research;0377-2217;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
European Journal of Political Economy;0176-2680;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
European Journal of Population/Revue Européenne de Démographie;0168-6577;;;;;;;;Sociologie, Démographie (2013);;;;;;Gestion (2016);Economie (2015);;;
European Journal of Public Health;1101-1262;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
European Journal of the History of Economic Thought;0967-2567;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;Histoire (2012);
European Journal of Work & Organizational Psychology;1359-432X;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
European Management Journal;0263-2373;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
European Management Review;1740-4754;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
European Planning Studies;0965-4313;1469-5944;Géographie, Aménagement, Urbanisme (2013);;;;;;;;;;;;Gestion (2016);;;;
European Review of Agricultural Economics;0165-1587;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
European Review of Economic History;1361-4916;;;;;;;;;;;;;;Gestion (2016);Economie (2015);Histoire, Histoire de l’art, Archéologie (2009);Histoire (2012);
Europe-Asia Studies;0966-8136;1465-3427;Géographie, Aménagement, Urbanisme (2013);Science politique (2011);;;;;;;;;;;Gestion (2016);Economie (2015);Histoire, Histoire de l’art, Archéologie (2009);Histoire (2012);
Evaluation;1356-3890;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Experimental Economics;1386-4157;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Expert Systems with Applications;0957-4174;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Explorations in Economic History;0014-4983;;;;;;;;;;;;;;Gestion (2016);Economie (2015);Histoire, Histoire de l’art, Archéologie (2009);Histoire (2012);
Family Business Review;0894-4865;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Feminist Economics;1354-5701;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Finance;0752-6180;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Finance & Stochastics;0949-2984;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Finance Contrôle Stratégie;1287-1141;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Finance Research Letters;1544-6123;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Financial Accountability and Management;0267-4424;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Financial Analysts Journal;0015-198X;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Financial History Review;0968-5650;1474-0052;;;;;;;;;;;;;Gestion (2016);Economie (2015);Histoire, Histoire de l’art, Archéologie (2009);Histoire (2012);
Financial Management;0046-3892;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Financial Markets and Portfolio Management;1555-4961;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Financial Markets, Institutions & Instruments;0963-8008;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Financial Review;0732-8516;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
FinanzArchiv;0015-2218;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Fiscal Studies;0143-5671;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Food Policy;0306-9192;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
