Auteurs;Titre;Sous-titre;Revue;Editeur;Année;Volume;Numéro;Pages;DOI;PMID;pdf1;pdf2;pdf3;pdf4;pdf5;reprint
B. Jégou, ;Reproductive endocrinology: Paracetamol-induced endocrine disruption in human fetal testes;;Nature Reviews. Endocrinology;;2015;11;;453–454;DOI : https://doi.org/10.1038/nrendo.2015.106;Pubmed : 26122322;;;;;;;
C. Zimmermann, I. Stévant, C. Borel, B. Conne, J.-L. Pitetti, P. Calvel, H. Kaessmann, B. Jégou, F. Chalmel, S. Nef, ;Research resource: the dynamic transcriptional profile of sertoli cells during the progression of spermatogenesis;;Molecular Endocrinology -Baltimore-;Endocrine Society;2015;29;4;627--642;DOI : https://doi.org/10.1210/me.2014-1356;Pubmed : 25710594;;;;;;;
M. B. Maamar, L. Lesné, C. Desdoits-Lethimonier, I. Coiffec, J. Lassurguère, V. Lavoué, Y. Deceuninck, J.-P. Antignac, B. Le Bizec, E. Perdu, D. Zalko, C. Pineau, C. Chevrier, N. Dejucq-Rainsford, S. Mazaud-Guittot, B. Jégou, ;An investigation of the endocrine-disruptive effects of bisphenol a in human and rat fetal testes.;;PLoS ONE;Public Library of Science;2014;10;2;e0117226;DOI : https://doi.org/10.1371/journal.pone.0117226;Pubmed : 25706302;;;;;;;
P. Callier, P. Calvel, A. Matevossian, P. Makrythanasis, P. Bernard, H. Kurosaka, A. Vannier, C. Thauvin-Robinet, C. Borel, S. Mazaud-Guittot, A. Rolland, C. Desdoits-Lethimonier, M. Guipponi, C. Zimmermann, I. Stévant, F. Kuhne, B. Conne, F. Santoni, S. Lambert, F. Huet, F. Mugneret, J. Jaruzelska, L. Faivre, D. Wilhelm, B. Jégou, P. A. Trainor, M. D. Resh, S. E. Antonarakis, S. Nef, ;Loss of function mutation in the palmitoyl-transferase HHAT leads to syndromic 46,XY disorder of sex development by impeding Hedgehog protein palmitoylation and signaling;;PLoS Genetics;Public Library of Science;2014;10;5;e1004340;DOI : https://doi.org/10.1371/journal.pgen.1004340;Pubmed : 24784881;;;;;;;
F. Chalmel, A. Lardenois, B. Evrard, A. D. Rolland, O. Sallou, M.-C. Dumargne, I. Coiffec, O. Collin, M. Primig, B. Jégou, ;High-resolution profiling of novel transcribed regions during rat spermatogenesis;;Biology of Reproduction;Society for the Study of Reproduction;2014;91;1;5;DOI : https://doi.org/10.1095/biolreprod.114.118166;Pubmed : 24740603;;;;;;;
S. Chocu, B. Evrard, R. Lavigne, A. D. Rolland, F. Aubry, B. Jégou, F. Chalmel, C. Pineau, ;Forty-four novel protein-coding loci discovered using a proteomics informed by transcriptomics (PIT) approach in rat male germ cells.;;Biology of Reproduction;Society for the Study of Reproduction;2014;91;5;123;DOI : https://doi.org/10.1095/biolreprod.114.122416;Pubmed : 25210130;;;;;;;
O. Albert, B. Jégou, ;A critical assessment of the endocrine susceptibility of the human testis to phthalates from fetal life to adulthood.;;Human Reproduction Update;Oxford University Press (OUP);2013;19;5;dmt050;DOI : https://doi.org/10.1093/humupd/dmt050;Pubmed : 24077978;;;;;;;
O. Albert, C. Desdoits-Lethimonier, L. Lesné, A. Legrand, F. Guillé, K. Bensalah, N. Dejucq-Rainsford, B. Jégou, ;Paracetamol, aspirin, and indomethacin display endocrine disrupting properties in the adult human testis in vitro.;;Human Reproduction;Oxford University Press (OUP);2013;28;7;1890-8;DOI : https://doi.org/10.1093/humrep/det112;Pubmed : 23670170;;;;;;;
F. Chalmel, A. Lardenois, I. Georg, F. Barrionuevo, P. Demougin, B. Jégou, G. Scherer, M. Primig, ;Genome-wide identification of Sox8-, and Sox9-dependent genes during early post-natal testis development in the mouse.;;Andrology;;2013;1;2;281-92;DOI : https://doi.org/10.1111/j.2047-2927.2012.00049.x;Pubmed : 23315995;;;;;;;
C. Chalmey, F. Giton, F. Chalmel, J. Fiet, B. Jégou, S. Mazaud-Guittot, ;Systemic Compensatory Response to Neonatal Estradiol Exposure Does Not Prevent Depletion of the Oocyte Pool in the Rat;;PLoS ONE;Public Library of Science;2013;8;12;e82175;DOI : https://doi.org/10.1371/journal.pone.0082175;Pubmed : 24358151;;<a href='https://hal-univ-rennes1.archives-ouvertes.fr/hal-00936582/file/Systemic_Compensatory_Response-accepted.pdf'><img alt='PDF' src='https://ecobio.univ-rennes1.fr/PDF_icon.gif' height='13px' border='0'  title='PDF' /></a>;;;;;
R. E. Chapin, K. Boekelheide, R. Cortvrindt, M. B. M. Van Duursen, T. Gant, B. Jegou, E. Marczylo, A. M. M. Van Pelt, J. N. Post, M. J. E. Roelofs, S. Schlatt, K. J. Teerds, J. Toppari, A. H. Piersma, ;Assuring safety without animal testing: the case for the human testis in vitro.;;Reproductive Toxicology;Elsevier;2013;39;;63-8;DOI : https://doi.org/10.1016/j.reprotox.2013.04.004;Pubmed : 23612449;;;;;;;
A. Laugeray, A. Herzine, O. Perche, B. Hébert, M. Aguillon-Naury, O. Richard, A. Menuet, S. Mazaud-Guittot, L. Lesné, S. Briault, B. Jegou, J. Pichon, C. Montécot-Dubourg, S. Mortaud, ;Pre- and postnatal exposure to low dose glufosinate ammonium induces autism-like phenotypes in mice.;;Frontiers in Behavioral Neuroscience;Frontiers;2013;8;;390;DOI : https://doi.org/10.3389/fnbeh.2014.00390;Pubmed : 25477793;;;;;;;
D. Mahé, C. Deleage, G. Matusali, A.-P. Satie, K. Bensalah, L. Guézenec, B. Jégou, N. Dejucq-Rainsford, ;HIV-1 interacts with human testicular germ cells in vitro;;Retrovirology;BioMed Central;2013;10;Suppl 1;P26;DOI : https://doi.org/10.1186/1742-4690-10-S1-P26;;;<a href='http://www.hal.inserm.fr/inserm-00868818/file/1742-4690-10-S1-P26.pdf'><img alt='PDF' src='https://ecobio.univ-rennes1.fr/PDF_icon.gif' height='13px' border='0'  title='PDF' /></a>;;;;;
S. Mazaud-Guittot, C. N. Nicolaz, C. Desdoits-Lethimonier, I. Coiffec, M. B. Maamar, P. Balaguer, D. Kristensen, C. Chevrier, V. Lavoué, P. Poulain, N. Dejucq-Rainsford, B. Jégou, ;Paracetamol, aspirin and indomethacin induce endocrine disturbances in the human fetal testis capable of interfering with testicular descent.;;Journal of Clinical Endocrinology and Metabolism;Endocrine Society;2013;98;11;E1757-67;DOI : https://doi.org/10.1210/jc.2013-2531;Pubmed : 24030937;;;;;;;
J.-L. Pitetti, P. Calvel, C. Zimmermann, B. Conne, M. D. Papaioannou, F. Aubry, C. R. Cederroth, F. Urner, B. Fumel, M. Crausaz, M. Docquier, P. L. Herrera, F. Pralong, M. Germond, F. Guillou, B. Jégou, S. Nef, ;An essential role for insulin and IGF1 receptors in regulating sertoli cell proliferation, testis size, and FSH action in mice.;;Molecular Endocrinology -Baltimore-;Endocrine Society;2013;27;5;814-27;DOI : https://doi.org/10.1210/me.2012-1258;Pubmed : 23518924;;<a href='https://hal.archives-ouvertes.fr/hal-00877005/file/An_Essential_Role_for_Insulin-accepted.pdf'><img alt='PDF' src='https://ecobio.univ-rennes1.fr/PDF_icon.gif' height='13px' border='0'  title='PDF' /></a>;;;;;
T. Serrano, C. Chevrier, L. Multigner, S. Cordier, B. Jégou, ;International geographic correlation study of the prevalence of disorders of male reproductive health.;;Human Reproduction;Oxford University Press (OUP);2013;28;7;1974-86;DOI : https://doi.org/10.1093/humrep/det111;Pubmed : 23670171;;;;;;;
F. Chalmel, A. Lardenois, B. Evrard, R. Mathieu, C. Feig, P. Demougin, A. Gattiker, W. Schulze, B. Jégou, C. Kirchhoff, M. Primig, ;Global human tissue profiling and protein network analysis reveals distinct levels of transcriptional germline-specificity and identifies target genes for male infertility.;;Human Reproduction;Oxford University Press (OUP);2012;27;11;3233-48;DOI : https://doi.org/10.1093/humrep/des301;Pubmed : 22926843;;;;;;;
C. Desdoits-Lethimonier, O. Albert, B. Le Bizec, E. Perdu, D. Zalko, F. Courant, L. Lesné, F. Guille, N. Dejucq-Rainsford, B. Jégou, ;Human testis steroidogenesis is inhibited by phthalates.;;Human Reproduction;Oxford University Press (OUP);2012;27;5;1451-9;DOI : https://doi.org/10.1093/humrep/des069;Pubmed : 22402212;;;;;;;
B. Jégou, ;L'infertilité mâle aujourd'hui. [Male infertility today].;;médecine/sciences;EDP Sciences;2012;28;5;447-8;DOI : https://doi.org/10.1051/medsci/2012285001;Pubmed : 22642990;;<a href='https://hal.archives-ouvertes.fr/hal-00877251/file/La_infertilitA_mA_le_aujourda_hui-accepted.pdf'><img alt='PDF' src='https://ecobio.univ-rennes1.fr/PDF_icon.gif' height='13px' border='0'  title='PDF' /></a>;;;;;
D. M. Kristensen, L. Lesné, V. Le Fol, C. Desdoits-Lethimonier, N. Dejucq-Rainsford, H. Leffers, B. Jégou, ;Paracetamol (acetaminophen), aspirin (acetylsalicylic acid) and indomethacin are anti-androgenic in the rat foetal testis.;;International Journal of Andrology;Wiley;2012;35;3;377-84;DOI : https://doi.org/10.1111/j.1365-2605.2012.01282.x;Pubmed : 22612476;;;;;;;
F. Chauvigné, S. Plummer, L. Lesné, J.-P. Cravedi, N. Dejucq-Rainsford, A. Fostier, B. Jégou, ;Mono-(2-ethylhexyl) phthalate directly alters the expression of Leydig cell genes and CYP17 lyase activity in cultured rat fetal testis.;;PLoS ONE;Public Library of Science;2011;6;11;e27172;DOI : https://doi.org/10.1371/journal.pone.0027172;Pubmed : 22087261;;<a href='https://hal.archives-ouvertes.fr/hal-00682585/file/Mono-_2-ethylhexyl_-accepted.pdf'><img alt='PDF' src='https://ecobio.univ-rennes1.fr/PDF_icon.gif' height='13px' border='0'  title='PDF' /></a>;;;;;
C. Deleage, M. Moreau, N. Rioux-Leclercq, A. Ruffault, B. Jégou, N. Dejucq-Rainsford, ;Human immunodeficiency virus infects human seminal vesicles in vitro and in vivo.;;American Journal of Pathology;American Society for Investigative Pathology;2011;179;5;2397-408;DOI : https://doi.org/10.1016/j.ajpath.2011.08.005;Pubmed : 21925468;;;;;;;
D. M. Kristensen, M. L. Skalkam, K. Audouze, L. Lesné, C. Desdoits-Lethimonier, H. Frederiksen, S. Brunak, N. E. Skakkebæk, B. Jégou, J. B. Hansen, S. Junker, H. Leffers, ;Many putative endocrine disruptors inhibit prostaglandin synthesis.;;Environmental Health Perspectives;National Institute of Environmental Health Sciences;2011;119;4;534-41;DOI : https://doi.org/10.1289/ehp.1002635;Pubmed : 21081300;;<a href='https://hal.archives-ouvertes.fr/hal-00682736/file/Many_Putative_Endocrine-accepted.pdf'><img alt='PDF' src='https://ecobio.univ-rennes1.fr/PDF_icon.gif' height='13px' border='0'  title='PDF' /></a>;;;;;
D. M. Kristensen, U. Hass, L. Lesné, G. Lottrup, P. R. Jacobsen, C. Desdoits-Lethimonier, J. Boberg, J. H. Petersen, J. Toppari, T. K. Jensen, S. Brunak, N. E. Skakkebaek, C. Nellemann, K. M. Main, B. Jégou, H. Leffers, ;Intrauterine exposure to mild analgesics is a risk factor for development of male reproductive disorders in human and rat.;;Human Reproduction;Oxford University Press (OUP);2011;26;1;235-44;DOI : https://doi.org/10.1093/humrep/deq323;Pubmed : 21059752;;;;;;;
M. N. Chi, J. Auriol, B. Jégou, D. L. Kontoyiannis, J. M. A. Turner, D. G. De Rooij, D. Morello, ;The RNA-binding protein ELAVL1/HuR is essential for mouse spermatogenesis, acting both at meiotic and postmeiotic stages.;;Molecular Biology of the Cell;American Society for Cell Biology;2011;22;16;2875-85;DOI : https://doi.org/10.1091/mbc.E11-03-0212;Pubmed : 21737689;;<a href='https://hal.archives-ouvertes.fr/hal-00682606/file/The_RNA-binding-accepted.pdf'><img alt='PDF' src='https://ecobio.univ-rennes1.fr/PDF_icon.gif' height='13px' border='0'  title='PDF' /></a>;;;;;
C. Philippat, L. Giorgis-Allemand, C. Chevrier, S. Cordier, M.-A. Charles, B. Jégou, R. Slama, ;Analgesics during pregnancy and undescended testis.;;Epidemiology;Lippincott, Williams & Wilkins;2011;22;5;747-9;DOI : https://doi.org/10.1097/EDE.0b013e318225bf33;Pubmed : 21811116;;;;;;;
A.-P. Satie, S. Mazaud-Guittot, I. Seif, D. Mahé, Z. He, G. Jouve, B. Jégou, N. Dejucq-Rainsford, ;Excess type I interferon signaling in the mouse seminiferous tubules leads to germ cell loss and sterility.;;Journal of Biological Chemistry;American Society for Biochemistry and Molecular Biology;2011;286;26;23280-95;DOI : https://doi.org/10.1074/jbc.M111.229120;Pubmed : 21515676;;;;;;;
Y. Tanguy, A. Falluel-Morel, S. Arthaud, L. Boukhzar, D.-L. Manecka, A. Chagraoui, G. Prevost, S. Elias, I. Dorval-Coiffec, J. Lesage, D. Vieau, I. Lihrmann, B. Jégou, Y. Anouar, ;The PACAP-regulated gene selenoprotein T is highly induced in nervous, endocrine, and metabolic tissues during ontogenetic and regenerative processes.;;Endocrinology;Endocrine Society;2011;152;11;4322-35;DOI : https://doi.org/10.1210/en.2011-1246;Pubmed : 21896670;;<a href='https://hal.archives-ouvertes.fr/hal-00682913/file/The_PACAP-Regulated-accepted.pdf'><img alt='PDF' src='https://ecobio.univ-rennes1.fr/PDF_icon.gif' height='13px' border='0'  title='PDF' /></a>;;;;;
P. Calvel, A. Rolland, B. Jégou, C. Pineau, ;Testicular postgenomics: targeting the regulation of spermatogenesis.;;Philosophical Transactions of the Royal Society B: Biological Sciences;Royal Society, The;2010;365;1546;1481-500;DOI : https://doi.org/10.1098/rstb.2009.0294;Pubmed : 20403865;;;;;;;
L. Multigner, J.-R. Ndong, A. Giusti, M. Romana, H. Delacroix-Maillard, S. Cordier, B. Jégou, J.-P. Thome, P. Blanchet, ;Chlordecone exposure and risk of prostate cancer.;;Journal of Clinical Oncology;American Society of Clinical Oncology;2010;28;21;3457-62;DOI : https://doi.org/10.1200/JCO.2009.27.2153;Pubmed : 20566993;;;;;;;
M. Trépos-Pouplard, A. Lardenois, C. Staub, N. Guitton, I. Dorval-Coiffec, C. Pineau, M. Primig, B. Jégou, M. Trépos, ;Proteome analysis and genome-wide regulatory motif prediction identify novel potentially sex-hormone regulated proteins in rat efferent ducts.;;International Journal of Andrology;Wiley;2010;33;5;661-74;DOI : https://doi.org/10.1111/j.1365-2605.2009.01006.x;Pubmed : 19906187;;;;;;;
P. Calvel, C. Kervarrec, R. Lavigne, V. Vallet-Erdtmann, M. Guerrois, A. Rolland, F. Chalmel, B. Jégou, C. Pineau, ;CLPH, a novel casein kinase 2-phosphorylated disordered protein, is specifically associated with postmeiotic germ cells in rat spermatogenesis.;;Journal of Proteome Research;American Chemical Society;2009;8;6;2953-65;DOI : https://doi.org/10.1021/pr900082m;Pubmed : 19271754;;;;;;;
F. Chauvigné, A. Menuet, L. Lesné, M.-C. Chagnon, C. Chevrier, J.-F. Regnier, J. Angerer, B. Jégou, ;Time- and dose-related effects of di-(2-ethylhexyl) phthalate and its main metabolites on the function of the rat fetal testis in vitro.;;Environmental Health Perspectives;National Institute of Environmental Health Sciences;2009;117;4;515-21;DOI : https://doi.org/10.1289/ehp.11870;;;;;;;;
E. Missaghian, P. Kempná, B. Dick, A. Hirsch, R. Alikhani-Koupaei, B. Jégou, P. Mullis, B. Frey, C. Flück, ;Role of DNA methylation in the tissue-specific expression of the CYP17A1 gene for steroidogenesis in rodents.;;Journal of Endocrinology;BioScientifica;2009;202;1;99-109;DOI : https://doi.org/10.1677/JOE-08-0353;Pubmed : 19403566;;;;;;;
M. Nguyen Chi, F. Chalmel, E. Agius, N. Vanzo, K. Khabar, B. Jégou, D. Morello, ;Temporally regulated traffic of HuR and its associated ARE-containing mRNAs from the chromatoid body to polysomes during mouse spermatogenesis.;;PLoS ONE;Public Library of Science;2009;4;3;e4900;DOI : https://doi.org/10.1371/journal.pone.0004900;Pubmed : 19333380;;<a href='http://www.hal.inserm.fr/inserm-00516318/file/pone.0004900.pdf'><img alt='PDF' src='https://ecobio.univ-rennes1.fr/PDF_icon.gif' height='13px' border='0'  title='PDF' /></a>;;;;;
M. Papaioannou, J.-L. Pitetti, S. Ro, C. Park, F. Aubry, O. Schaad, C. Vejnar, F. Kühne, P. Descombes, E. Zdobnov, M. Mcmanus, F. Guillou, B. Harfe, W. Yan, B. Jégou, S. Nef, ;Sertoli cell Dicer is essential for spermatogenesis in mice.;;Developmental Biology;Elsevier;2009;326;1;250-9;DOI : https://doi.org/10.1016/j.ydbio.2008.11.011;Pubmed : 19071104;;<a href='http://www.hal.inserm.fr/inserm-00504465/file/nihms95929.pdf'><img alt='PDF' src='https://ecobio.univ-rennes1.fr/PDF_icon.gif' height='13px' border='0'  title='PDF' /></a>;;;;;
A.-P. Satie, J. Auger, C. Chevrier, C. Le Bon, P. Jouannet, M. Samson, B. Jégou, ;Seminal expression of NY-ESO-1 and MAGE-A4 as markers for the testicular cancer.;;International Journal of Andrology;Wiley;2009;32;6;713-9;DOI : https://doi.org/10.1111/j.1365-2605.2008.00945.x;Pubmed : 19207618;;;;;;;
A. Le Tortorec, A.-P. Satie, H. Denis, N. Rioux-Leclercq, L. Havard, A. Ruffault, B. Jégou, N. Dejucq-Rainsford, ;Human prostate supports more efficient replication of HIV-1 R5 than X4 strains ex vivo.;;Retrovirology;BioMed Central;2008;5;1;119;DOI : https://doi.org/10.1186/1742-4690-5-119;Pubmed : 19117522;;<a href='http://www.hal.inserm.fr/inserm-00354718/file/1742-4690-5-119.pdf'><img alt='PDF' src='https://ecobio.univ-rennes1.fr/PDF_icon.gif' height='13px' border='0'  title='PDF' /></a>;;;;;
A. Le Tortorec, H. Denis, A.-P. Satie, J.-J. Patard, A. Ruffault, B. Jégou, N. Dejucq-Rainsford, ;Antiviral responses of human Leydig cells to mumps virus infection or poly I:C stimulation.;;Human Reproduction / Human Reproduction (Oxford);;2008;23;9;2095-103;DOI : https://doi.org/10.1093/humrep/den207;Pubmed : 18567898;;<a href='http://www.hal.inserm.fr/inserm-00523314/file/2095.full.pdf'><img alt='PDF' src='https://ecobio.univ-rennes1.fr/PDF_icon.gif' height='13px' border='0'  title='PDF' /></a>;;;;;
A. Le Tortorec, R. Le Grand, H. Denis, A.-P. Satie, K. Mannioui, P. Roques, A. Maillard, S. Daniels, B. Jégou, N. Dejucq-Rainsford, ;Infection of semen-producing organs by SIV during the acute and chronic stages of the disease.;;PLoS ONE;Public Library of Science;2008;3;3;e1792;DOI : https://doi.org/10.1371/journal.pone.0001792;Pubmed : 18347738;;<a href='http://www.hal.inserm.fr/inserm-00521466/file/journal.pone.0001792.pdf'><img alt='PDF' src='https://ecobio.univ-rennes1.fr/PDF_icon.gif' height='13px' border='0'  title='PDF' /></a>;;;;;
L. Multigner, P. Kadhel, M. Pascal, F. Huc-Terki, H. Kercret, C. Massart, E. Janky, J. Auger, B. Jégou, ;Parallel assessment of male reproductive function in workers and wild rats exposed to pesticides in banana plantations in Guadeloupe.;;Environmental health : a global access science source [electronic resource];;2008;7;;40;DOI : https://doi.org/10.1186/1476-069X-7-40;Pubmed : 18667078;;;;;;;
L. Potrzebowski, N. Vinckenbosch, A. C. Marques, F. Chalmel, B. Jégou, H. Kaessmann, ;Chromosomal gene movements reflect the recent origin and biology of therian sex chromosomes.;;PLoS Biology;Public Library of Science;2008;6;4;e80;DOI : https://doi.org/10.1371/journal.pbio.0060080;Pubmed : 18384235;;<a href='http://www.hal.inserm.fr/inserm-00521505/file/journal.pbio.0060080.pdf'><img alt='PDF' src='https://ecobio.univ-rennes1.fr/PDF_icon.gif' height='13px' border='0'  title='PDF' /></a>;;;;;
A. Rolland, B. Jégou, C. Pineau, ;Testicular development and spermatogenesis: harvesting the postgenomics bounty.;;Advances in Experimental Medicine and Biology;Kluwer;2008;636;;16-41;DOI : https://doi.org/10.1007/978-0-387-09597-4_2;Pubmed : 19856160;;;;;;;
F. Chalmel, A. Rolland, C. Niederhauser-Wiederkehr, S. S. W. Chung, P. Demougin, A. Gattiker, J. Moore, J.-J. Patard, D. J. Wolgemuth, B. Jégou, M. Primig, ;The conserved transcriptome in human and rodent male gametogenesis.;;Proceedings of the National Academy of Sciences of the United States of America;National Academy of Sciences;2007;104;20;8346-51;DOI : https://doi.org/10.1073/pnas.0701883104;Pubmed : 17483452;;;;;;;
V. Cérec, C. Piquet-Pellorce, H. A. A. Aly, A.-M. Touzalin, B. Jégou, F. Bauché, ;Multiple pathways for cationic amino acid transport in rat seminiferous tubule cells.;;Biology of Reproduction;Society for the Study of Reproduction;2007;76;2;241-9;DOI : https://doi.org/10.1095/biolreprod.106.056168;Pubmed : 17065601;;;;;;;
C. Lécureuil, C. Staub, S. Fouchécourt, M.-C. Maurel, I. Fontaine, N. Martinat, C. Gauthier, A. Daudignon, B. Delaleu, A. Sow, B. Jégou, F. Guillou, ;Transferrin overexpression alters testicular function in aged mice.;;Molecular Reproduction and Development;Wiley;2007;74;2;197-206;DOI : https://doi.org/10.1002/mrd.20523;Pubmed : 16998850;;;;;;;
A. Rolland, B. Evrard, N. Guitton, R. Lavigne, P. Calvel, M. Couvet, B. Jégou, C. Pineau, ;Two-dimensional fluorescence difference gel electrophoresis analysis of spermatogenesis in the rat.;;Journal of Proteome Research;American Chemical Society;2007;6;2;683-97;DOI : https://doi.org/10.1021/pr060436z;Pubmed : 17269725;;;;;;;
A. Touré, P. Lhuillier, J. A. Gossen, C. W. Kuil, D. Lhôte, B. Jégou, D. Escalier, G. Gacon, ;The testis anion transporter 1 (Slc26a8) is required for sperm terminal differentiation and male fertility in the mouse.;;Human Molecular Genetics;Oxford University Press (OUP);2007;16;15;1783-93;DOI : https://doi.org/10.1093/hmg/ddm117;Pubmed : 17517695;;;;;;;
E. Com, A. Rolland, M. Guerrois, F. Aubry, B. Jégou, V. Vallet-Erdtmann, C. Pineau, ;Identification, molecular cloning, and cellular distribution of the rat homolog of minichromosome maintenance protein 7 (MCM7) in the rat testis.;;Molecular Reproduction and Development;Wiley;2006;73;7;866-77;DOI : https://doi.org/10.1002/mrd.20453;Pubmed : 16557521;;;;;;;
V. Hesry, C. Piquet-Pellorce, M. Travert, L. Donaghy, B. Jégou, J.-J. Patard, T. Guillaudeux, ;Sensitivity of prostate cells to TRAIL-induced apoptosis increases with tumor progression: DR5 and caspase 8 are key players.;;Prostate;Wiley;2006;66;9;987-95;DOI : https://doi.org/10.1002/pros.20421;Pubmed : 16541419;;;;;;;
N. Melaine, A.-P. Satie, J. Lassurguère, S. Desmots, B. Jégou, M. Samson, ;Molecular cloning of several rat ABC transporters including a new ABC transporter, Abcb8, and their expression in rat testis.;;International Journal of Andrology;Wiley;2006;29;3;392-9;DOI : https://doi.org/10.1111/j.1365-2605.2005.00616.x;Pubmed : 16390497;;;;;;;
V. Roulet, A.-P. Satie, A. Ruffault, A. Le Tortorec, H. Denis, O. Guist'Hau, J.-J. Patard, N. Rioux-Leclerq, J. Gicquel, B. Jégou, N. Dejucq-Rainsford, ;Susceptibility of human testis to human immunodeficiency virus-1 infection in situ and in vitro.;;American Journal of Pathology;American Society for Investigative Pathology;2006;169;6;2094-103;DOI : https://doi.org/10.2353/ajpath.2006.060191;Pubmed : 17148672;;;;;;;
V. Roulet, H. Denis, C. Staub, A. Le Tortorec, B. Delaleu, A.-P. Satie, J.-J. Patard, B. Jégou, N. Dejucq-Rainsford, ;Human testis in organotypic culture: application for basic or clinical research.;;Human Reproduction;Oxford University Press (OUP);2006;21;6;1564-75;DOI : https://doi.org/10.1093/humrep/del018;Pubmed : 16497692;;;;;;;
