Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Editeur revue;Volume, Issue, Pages;ISBN;Titre conférence;Commentaire;Date congrès;Ville;Pays;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;DOI;NNT;Pubmed;Référence;ArXiv;Description;Voir aussi;Réf. HAL;Rang HCERES;Rang CNRS
Boulle F., Pawluski J. L., Homberg J. R., Machiels B., Kroeze Y., Kumar N., Steinbusch H. W. M., Kenis G., Hove D. L. A.;2016;;Prenatal stress and early-life exposure to fluoxetine have enduring effects on anxiety and hippocampal BDNF gene expression in adult male offspring;Developmental Psychobiology;;58;4;;;;;427-438;;;;;;;;;;;;;;;;;;10.1002/dev.21385;;26608001;;;;;;;
Boutet M., Gauthier L., Leclerc M., Gros G., De Montpreville V., Théret N., Donnadieu E., Mami-Chouaib F.;2016;;TGF-β signaling intersects with CD103 integrin signaling to promote T lymphocyte accumulation and antitumor activity in the lung tumor microenvironment;Cancer Research;;76;12;;;;;in press;;;;;;;;;;;;;;;;;;10.1158/0008-5472.CAN-15-1545;;26921343;;;;;;;
Brandhonneur N., Noury F., Bruyère A., Saint-Jalmes H., Le Corre P.;2016;;PBPK model of methotrexate in cerebrospinal fluid ventricles using a combined microdialysis and MRI acquisition;European Journal of Pharmaceutics and Biopharmaceutics;;104;;;;;;117-130;;;;;;;;;;;;;;;;;;10.1016/j.ejpb.2016.04.012;;27142258;;;;;;;
Brogat M., Baures E., Sellier A., Mercier F., Doloy M., Thomas O., Roig B.;2016;;Automatic and predictive fractionation of organic micropollutants in contaminated water;Environmental Chemistry;;13;;;;;;688-698;;;;;;;;;;;;;;;;;;10.1071/EN15135;;;;;;;;;
Brureau L., Moningo D., Emeville E., Ferdinand S., Punga A., Lufuma S., Blanchet P., Romana M., Multigner L.;2016;;Polymorphisms of Estrogen Metabolism-Related Genes and Prostate Cancer Risk in Two Populations of African Ancestry;PLoS ONE;;11;4;;;;;e0153609;;;;;;;;;;;;;;;;;;10.1371/journal.pone.0153609;;27074016;;;;;;;
Burnette M., Filliol A., Piquet-Pellorce C., Samson M., Lamontagne L., Bleau C.;2016;;Toll-like receptor-2 exacerbates murine acute viral hepatitis;Immunology;;149;;;;;;204-224;;;;;;;;;;;;;;;;;;10.1111/imm.12627;;27273587;;;;;;;
Cacialli P., Gueguen M.-M., Coumailleau P., D'angelo L., Kah O., Lucini C., Pellegrini E.;2016;;BDNF Expression in Larval and Adult Zebrafish Brain: Distribution and Cell Identification;PLoS ONE;;11;6;;;;;e0158057;;;;;;;;;;;;;;;;;;10.1371/journal.pone.0158057;;27336917;;;;;;;
Camus C., Matusali G., Bourry O., Mahé D., Aubry F., Bujan L., Pasquier C., Massip P., Ravel C., Zirafi O., Münch J., Roan N. R., Pineau C., Dejucq-Rainsford N.;2016;;Comparison of the effect of semen from HIV-infected and uninfected men on CD4+ T cell infection;AIDS;;30;8;;;;;1197-1208;;;;;;;;;;;;;;;;;;10.1097/QAD.0000000000001048;;26854806;;;;;;;
Cano-Nicolau J., Vaillant C., Pellegrini E., Charlier T. D., Kah O., Coumailleau P.;2016;;Estrogenic Effects of Several BPA Analogs in the Developing Zebrafish Brain;Frontiers in Neuroscience;;10;;;;;;112;;;;;;;;;;;;;;;;;;10.3389/fnins.2016.00112;;27047331;;;;;;;
Cano-Nicolau J., Garoche C., Hinfray N., Pellegrini E., Boujrad N., Pakdel F., Kah O., Brion F.;2016;;Several synthetic progestins disrupt the glial cell specific-brain aromatase expression in developing zebra fish;Toxicology and Applied Pharmacology;;305;;;;;;12-21;;;;;;;;;;;;;;;;;;10.1016/j.taap.2016.05.019;;27245768;;;;;;;
Carlan M., Lescoat A., Coiffier G., Bouzillé G., Droitcourt C., Jouneau S., Cazalets C., Brochard C., Jego P., Ropert A.;2016;;Caractérisation des troubles moteurs œsophagiens au cours de la sclérodermie systémique par manométrie de haute résolution;Revue de Médecine Interne;;37, Supplement 1;;;;;;A55-A56;;;;;;;;;;;;;;;;;;10.1016/j.revmed.2016.04.267;;;;;;;;;
Cassadou S., Rosine J., Flamand C., Escher M., Ledrans M., Bourhy P., Picardeau M., Quenel P.;2016;;Underestimation of Leptospirosis Incidence in the French West Indies;PLoS Neglected Tropical Diseases;;10;4;;;;;e0004668;;;;;;;;;;;;;;;;;;10.1371/journal.pntd.0004668;;27128631;;;;;;;
Charpin D., Pairon .-C., Annesi-Maesano I., Caillaud D., De Blay F., Dixsaut G., Housset B., Meurice .-C., Roussel I., Zmirou D., Delaval P., Dalphin .-C.;2016;;[Outdoor pollution and its effects on lung health. Expert document from the groupe pathologies pulmonaires professionnelles environnementales et iatrogéniques (PAPPEI) of the Société de pneumologie de langue française (SPLF)].;Revue des Maladies Respiratoires;;33;6;;;;;484-508;;;;;;;;;;;;;;;;;;;;27209117;;;;;;;
Chevrier C., Warembourg C., Maner-Idrissi G. L., Lacroix A., Dardier V., Le Sourn-Bissaoui S., Rouget F., Monfort C., Gaudreau E., Mercier F., Bonvallot N., Glorennec P., Muckle G., Le Bot B., Cordier S.;2016;;Childhood exposure to polybrominated diphenyl ethers and neurodevelopment at six years of age;NeuroToxicology;;54;;;;;;81-88;;;;;;;;;;;;;;;;;;10.1016/j.neuro.2016.03.002;;26955917;;;;;;;
Chouchene L., Pellegrini E., Gueguen M.-M., Hinfray N., Brion F., Piccini B., Kah O., Saïd K., Messaoudi I., Pakdel F.;2016;;Inhibitory effect of cadmium on estrogen signaling in zebrafish brain and protection by zinc;Journal of Applied Toxicology;;36;6;;;;;863-871;;;;;;;;;;;;;;;;;;10.1002/jat.3285;;;;;;;;;
Cimino I., Casoni F., Liu X., Messina A., Parkash J., Jamin S. P., Catteau-Jonard S., Collier F., Baroncini M., Dewailly D., Pigny P., Prescott M., Campbell R., Herbison A. E., Prévot V., Giacobini P.;2016;;Novel role for anti-Müllerian hormone in the regulation of GnRH neuron excitability and hormone secretion;Nature Communications;;7;;;;;;10055;;;;;;;;;;;;;;;;;;10.1038/ncomms10055;;26753790;;;;;;;
Coirier V., Lescoat A., Cazalets C., Coiffier G., Jouneau S., Chabanne C., Fournet M., Jego P.;2016;;Impact de l’utilisation de l’algorithme DETECT au cours de la sclérodermie systémique : étude transversale sur 117 patients comparant les pratiques actuelles d’un centre de compétence français à celles bientôt recommandées par ce nouvel outil de dépistage;Revue de Médecine Interne;;37, Supplement 1;;;;;;A76;;;;;;;;;;;;;;;;;;10.1016/j.revmed.2016.04.300;;;;;;;;;
Comacle P., Belaz S., Robert-Gangneux F., Chevrier S., Gangneux J.;2016;;Détection d’Aspergillus dans le liquide bronchiolo-alvéolaire pour le diagnostic de l’aspergillose invasive : comparaison des performances de 2 méthodes PCR;Journal de Mycologie Médicale;;26;2;;;;;e21-e22;;;;;;;;;;;;;;;;;;10.1016/j.mycmed.2016.04.048;;;;;;;;;
Cordier S.;2016;;Environnement et risque d'hypospadias;Environnement, Risques and Santé;;15;2;;;;;88-90;;;;;;;;;;;;;;;;;;10.1684/ers.2016.0844;;;;;;;;;
Cousin F. J., Jouan-Lanhouet S., Théret N., Brenner C., Jouan E., Le Moigne-Muller G., Dimanche-Boitrel M.-T., Jan G.;2016;;The probiotic Propionibacterium freudenreichii as a new adjuvant for TRAIL-based therapy in colorectal cancer;Oncotarget;;;;;;;;;;;;;;;;;;;;;;;;;;10.18632/oncotarget.6881;;26771233;;;;;;;
De Gavelle E., De Lauzon-Guillain B., Charles M.-A., Chevrier C., Hulin M., Sirot V., Merlo M., Nougadère A.;2016;;Chronic dietary exposure to pesticide residues and associated risk in the French ELFE cohort of pregnant women;Environment International;;92–93;;;;;;533-542;;;;;;;;;;;;;;;;;;10.1016/j.envint.2016.04.007;;;;;;;;;
Debost-Legrand A., Warembourg C., Massart C., Chevrier C., Bonvallot N., Monfort C., Rouget F., Bonnet F., Cordier S.;2016;;Prenatal exposure to persistent organic pollutants and organophosphate pesticides, and markers of glucose metabolism at birth;Environmental Research;;146;;;;;;207-217;;;;;;;;;;;;;;;;;;10.1016/j.envres.2016.01.005;;26775002;;;;;;;
Deguen S., Petit C., Delbarre A., Kihal W., Padilla C., Benmarhnia T., Lapostolle A., Chauvin P., Zmirou-Navier D.;2016;;Correction: Neighbourhood Characteristics and Long-Term Air Pollution Levels Modify the Association between the Short-Term Nitrogen Dioxide Concentrations and All-Cause Mortality in Paris;PLoS ONE;;11;3;;;;;e0150875;;;;;;;;;;;;;;;;;;10.1371/journal.pone.0150875;;26930602;;;;;;;
Dejucq-Rainsford N.;2016;;HIV infection and anti-viral mechanisms in the male urogenital tract;Journal of Reproductive Immunology;;115;;;;;;55;;;;;;;;;;;;;;;;;;10.1016/j.jri.2016.04.170;;;;;;;;;
Delpierre C., Lepeule J., Cordier S., Slama R., Heude B., Charles M.-A.;2016;;Origine développementale de la santé et des maladies (DOHaD), environnement et épigénétique [DOHaD: epidemiological researches];Médecine Sciences: M/S;;32;1;;;;;21-26;;;;;;;;;;;;;;;;;;10.1051/medsci/20163201005;;26850603;;;;;;;
Dumollard C., Bailly S., Perriot S., Brenier-Pinchart M. P., Saint-Raymond C., Camara B., Gangneux J. P., Persat F., Valot S., Grenouillet F., Pelloux H., Pinel C., Cornet M.;2016;;Prospective evaluation of a new Aspergillus IgG EIA kit for the diagnosis of chronic and allergic pulmonary aspergillosis;Journal of Clinical Microbiology;;54;5;;;;;1236-1242;;;;;;;;;;;;;;;;;;10.1128/JCM.03261-15;;26888904;;;;;;;
Escobar S., Rocha A., Felip A., Carrillo M., Zanuy S., Kah O., Servili A.;2016;;Leptin receptor gene in the European sea bass (Dicentrarchus labrax): cloning, phylogeny, tissue distribution and neuroanatomical organization;General and Comparative Endocrinology;;229;;;;;;100-111;;;;;;;;;;;;;;;;;;10.1016/j.ygcen.2016.03.017;;;;;;;;;
Fournier K., Tebby C., Zeman F., Glorennec P., Zmirou-Navier D., Bonvallot N.;2016;;Multiple exposures to indoor contaminants: Derivation of benchmark doses and relative potency factors based on male reprotoxic effects;Regulatory Toxicology and Pharmacology;;74;;;;;;23-30;;;;;;;;;;;;;;;;;;10.1016/j.yrtph.2015.11.017;;26644063;;;;;;;
Gangneux J., Belaz S., Rivier A., Le Cann P., Guillaso M., Donnio P., Blanchard O., Mercier F., Surget E., Baures E., Florentin A.;2016;;Analyse physicochimique et microbiologique de la Qualité de l’Air Intérieur dans les établissements HOSPitaliers : l’étude QAIHOSP;Journal de Mycologie Médicale;;26;2;;;;;e10-e11;;;;;;;;;;;;;;;;;;10.1016/j.mycmed.2016.04.026;;;;;;;;;
Gao F., Kihal W., Le Meur N., Souris M., Deguen S.;2016;;Assessment of the spatial accessibility to health professionals at French census block level;International Journal for Equity in Health;;15;;;;;;125;;;;;;;;;;;;;;;;;;10.1186/s12939-016-0411-z;;27485740;;;;;;;
Gemmel M., Rayen I., Donkelaar E., Loftus T., Steinbusch H. W., Kokras N., Dalla C., Pawluski J. L.;2016;;Gestational stress and fluoxetine treatment differentially affect plasticity, methylation and serotonin levels in the PFC and hippocampus of rat dams;Neuroscience;;327;;;;;;32-43;;;;;;;;;;;;;;;;;;10.1016/j.neuroscience.2016.03.068;;27060483;;;;;;;
Gerő D., Torregrossa R., Perry A., Waters A., Le-Trionnaire S., Whatmore J., Wood M., Whiteman M.;2016;;The novel mitochondria-targeted hydrogen sulfide (H2S) donors AP123 and AP39 protect against hyperglycemic injury in microvascular endothelial cells in vitro;Pharmacological Research;;113;;;;;;186-198;;;;;;;;;;;;;;;;;;10.1016/j.phrs.2016.08.019;;;;;;;;;
Guillemot S., Salé A., Polard E., Kerjouan M., Belleguic C., Desrues B., Jouneau S.;2016;;Absence de récidive sous adalimumab, chez une patiente ayant présenté un asthme induit par l’infliximab;Revue des Maladies Respiratoires;;33;5;;;;;414;;;;;;;;;;;;;;;;;;10.1016/j.rmr.2016.04.012;;;;;;;;;
Haas A., Le Page Y., Zhadobov M., Boriskin A., Sauleau R., Le Dréan Y.;2016;;Impact of 60-GHz millimeter waves on stress and pain-related protein expression in differentiating neuron-like cells;Bioelectromagnetics;;37;;;;;;444-454;;;;;;;;;;;;;;;;;;10.1002/bem.21995;;27483046;;;;;;;
Haas A. J., Prigent S., Dutertre S., Le Dréan Y., Le Page Y.;2016;;Neurite analyzer: An original Fiji plugin for quantification of neuritogenesis in two-dimensional images;Journal of Neuroscience Methods;;271;;;;;;86-91;;;;;;;;;;;;;;;;;;10.1016/j.jneumeth.2016.07.011;;;;;;;;;
Haas A., Le Page Y., Zhadobov M., Sauleau R., Le Dréan Y.;2016;;Effects of 60-GHz Millimeter Waves on Neurite Outgrowth in PC12Cells Using High Content Screening;Neuroscience Letters;;618;;;;;;58-65;;;;;;;;;;;;;;;;;;10.1016/j.neulet.2016.02.038;;;;;;;;;
Hardonnière K., Saunier E., Lemarié A., Fernier M., Gallais I., Helies-Toussaint C., Mograbi B., Antonio S., Bénit P., Rustin P., Janin M., Habarou F., Ottolenghi C., Lavault M.-T., Benelli C., Sergent O., Huc L., Bortoli S., Lagadic-Gossmann D.;2016;;The environmental carcinogen benzo[a]pyrene induces a Warburg-like metabolic reprogramming dependent on NHE1 and associated with cell survival;Scientific Reports;;6;;;;;;30776;;;;;;;;;;;;;;;;;;10.1038/srep30776;;27488617;;;;;;;
Henry B., Revest M., Dournon N., Epelboin L., Mellon G., Bellaud G., Mordant P., Le Dû D., Véziris N., Bernard C., Morel S., Jauréguiberry S., Michelet C., Bricaire F., Tattevin P., Caumes É.;2016;;Preliminary Favorable Outcome for Medically and Surgically Managed Extensively Drug-Resistant Tuberculosis, France, 2009-2014;Emerging Infectious Diseases;;22;3;;;;;518-521;;;;;;;;;;;;;;;;;;10.3201/eid2203.151130;;;;;;;;;
Heraudeau A., Ricordel C., Salé A., Lederlin M., Kerjouan M., De Latour B., Llamas-Guttierez F., Desrues B., Jouneau S.;2016;;Pneumopathie infiltrante diffuse et cancer du pancréas : présentation de trois cas;Revue des Maladies Respiratoires;;33;5;;;;;417;;;;;;;;;;;;;;;;;;10.1016/j.rmr.2016.04.019;;;;;;;;;
Hervé D., Costet N., Kadhel P., Rouget F., Monfort C., Thomé J.-P., Multigner L., Cordier S.;2016;;Prenatal exposure to chlordecone, gestational weight gain, and birth weight in a Guadeloupean birth cohort;Environmental Research;;151;;;;;;436-444;;;;;;;;;;;;;;;;;;10.1016/j.envres.2016.08.004;;;;;;;;;
Hinfray N., Tebby C., Garoche C., Piccini B., Bourgine G., Ait-Aissa S., Kah O., Pakdel F., Brion F.;2016;;Additive effects of levonorgestrel and ethinylestradiol on brain aromatase (cyp19a1b) in zebrafish specific in vitro and in vivo bioassays;Toxicology and Applied Pharmacology;;307;;;;;;108-114;;;;;;;;;;;;;;;;;;10.1016/j.taap.2016.07.023;;;;;;;;;
Holm J. B., Mazaud-Guittot S., Danneskiold-Samsøe N. B., Chalmey C., Jensen B., Nørregård M. M., Hansen C. H., Styrishave B., Svingen T., Vinggaard A. M., Koch H. M., Bowles J., Koopman P., Jégou B., Kristiansen K., Kristensen D. M.;2016;;Intrauterine exposure to paracetamol and aniline impairs female reproductive development by reducing follicle reserves and fertility;Toxicological Sciences;;;;;;;;;;;;;;;;;;;;;;;;;;10.1093/toxsci/kfv332;;26732887;;;;;;;
Huchon C., Deffieux X., Beucher G., Capmas P., Carcopino X., Costedoat-Chalumeau N., Delabaere A., Gallot V., Iraola E., Lavoue V., Legendre G., Lejeune-Saada V., Levêque J., Nedellec S., Nizard J., Quibel T., Subtil D., Vialard F., Lemery D.;2016;;Pregnancy loss: French clinical practice guidelines;European Journal of Obstetrics and Gynecology and Reproductive Biology;;;;;;;;;;;;;;;;;;;;;;;;;;10.1016/j.ejogrb.2016.02.015;;;;;;;;;
Imran Arshad M., Ahmad Khan H., Noel G., Piquet-Pellorce C., Samson M.;2016;;Potential Therapeutic Aspects of Alarmin Cytokine Interleukin 33 or Its Inhibitors in Various Diseases;Clinical Therapeutics;;;;;;;;;;;;;;;;;;;;;;;;;;10.1016/j.clinthera.2016.02.021;;;;;;;;;
Jehanno C., Flouriot G., Nicol-Benoît F., Le Page Y., Le Goff P., Michel D.;2016;;Envisioning metastasis as a transdifferentiation phenomenon clarifies discordant results on cancer;Breast Disease;;36;;;;;;47-59;;;;;;;;;;;;;;;;;;10.3233/BD-150210;;;;;;;;;
Jouan E., Le Vée M., Mayati A., Denizot C., Parmentier Y., Fardel O.;2016;;Evaluation of P-Glycoprotein Inhibitory Potential Using a Rhodamine 123 Accumulation Assay;Pharmaceutics;;8;2;;;;;;;;;;;;;;;;;;;;;;;10.3390/pharmaceutics8020012;;27077878;;;;;;;
Kadhel P., Delrieu D., Deloumeaux J., Ryan C., Janky E.;2016;;Characterization of potentially avoidable cases in a 1-year series of consecutive cesarean sections in the tertiary maternity unit of Guadeloupe (French West Indies);Journal of Obstetrics and Gynaecology Research;;;;;;;;in press;;;;;;;;;;;;;;;;;;10.1111/jog.13007;;;;;;;;;
Kihal-Talantikite W., Vigneau C., Deguen S., Siebert M., Couchoud C., Bayat S.;2016;;Influence of Socio-Economic Inequalities on Access to Renal Transplantation and Survival of Patients with End-Stage Renal Disease;PLoS ONE;;11;4;;;;;e0153431;;;;;;;;;;;;;;;;;;10.1371/journal.pone.0153431;;27082113;;;;;;;
Kristensen D. M., Mazaud-Guittot S., Gaudriault P., Lesné L., Serrano T., Main K. M., Jégou B.;2016;;Analgesic use - prevalence, biomonitoring and endocrine and reproductive effects;Nature Reviews Endocrinology;;12;7;;;;;381-393;;;;;;;;;;;;;;;;;;10.1038/nrendo.2016.55;;27150289;;;;;;;
Lagarrigue M., Caprioli R. M., Pineau C.;2016;;Potential of MALDI imaging for the toxicological evaluation of environmental pollutants;Journal of Proteomics;;144;;;;;;133-139;;;;;;;;;;;;;;;;;;10.1016/j.jprot.2016.05.008;;;;;;;;;
Lardenois A., Jagot S., Lagarrigue M., Guével B., Ledevin M., Larcher T., Dubreil L., Pineau C., Rouger K., Guével L.;2016;;Quantitative proteome profiling of dystrophic dog skeletal muscle reveals a stabilized muscular architecture and protection against oxidative stress after systemic delivery of MuStem cells.;Proteomics;;;;;;;;np;;;;;;;;;;;;;;;;;;10.1002/pmic.201600002;;27246553;;;;;;;
Laurent M.-A., Bonnier D., Théret N., Tuffery P., Moroy G.;2016;;In silico characterization of the interaction between LSKL peptide, a LAP-TGF-beta derived peptide, and ADAMTS1;Computational Biology and Chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;10.1016/j.compbiolchem.2016.01.012;;;;;;;;;
Le Vee M., Jouan E., Lecureur V., Fardel O.;2016;;Aryl hydrocarbon receptor-dependent up-regulation of the heterodimeric amino acid transporter LAT1 (SLC7A5)/CD98hc (SLC3A2) by diesel exhaust particle extract in human bronchial epithelial cells;Toxicology and Applied Pharmacology;;290;;;;;;74-85;;;;;;;;;;;;;;;;;;10.1016/j.taap.2015.11.014;;26621329;;;;;;;
Leroy O., Bailly S., Gangneux J.-P., Mira J.-P., Devos P., Dupont H., Montravers P., Perrigault P.-F., Constantin J.-M., Guillemot D., Azoulay É., Lortholary O., Bensoussan C., Timsit J.-F.;2016;;Systemic antifungal therapy for proven or suspected invasive candidiasis: the AmarCAND 2 study;Annals of Intensive Care;;6;1;;;;;2;;;;;;;;;;;;;;;;;;10.1186/s13613-015-0103-7;;26743881;;;;;;;
Lescoat A., Lecureur V., Ly Sunnaram B., Roussel M., Coiffier G., Jouneau S., Fest T., Fardel O., Jego P.;2016;;Une augmentation de la population monocytaire pro-inflammatoire CD16+ est associée à la sévérité des atteintes fibrosantes au cours de la sclérodermie systémique;Revue de Médecine Interne;;37, Supplement 1;;;;;;A47-A48;;;;;;;;;;;;;;;;;;10.1016/j.revmed.2016.04.253;;;;;;;;;
Letois F., Vanhems P., Loulergue P., Duval X., Jouneau S., Postil D., Samih-Lenzi N., Loubet P., Merle C., Lina B., Carrat F., Launay O., Galtier F.;2016;;CO-02: Syndromes grippaux chez les diabétiques en milieu hospitalier : caractéristiques et complications;Diabetes and Metabolism;;42, Supplement 1;;;;;;A1;;;;;;;;;;;;;;;;;;10.1016/S1262-3636(16)30020-9;;;;;;;;;
Liu Y., Stuparevic I., Xie B., Becker E., Law M. J., Primig M.;2016;;Corrigendum: The conserved histone deacetylase Rpd3 and the DNA binding regulator Ume6 repress BOI1's meiotic transcript isoform during vegetative growth in Saccharomyces cerevisiae (vol 96, pg 861, 2015);Molecular Microbiology;;99;1;;;;;217-217;;;;;;;;;;;;;;;;;;10.1111/mmi.13297;;;;;;;;;
Loubet P., Samih-Lenzi N., Galtier F., Vanhems P., Loulergue P., Duval X., Jouneau S., Postil D., Rogez S., Valette M., Merle C., Régis C., Costa Y., Lesieur Z., Tattevin P., Lina B., Carrat F., Launay O.;2016;;Factors associated with poor outcomes among adults hospitalised for influenza in France: A three-year prospective multicenter study;Journal of Clinical Virology;;;;;;;;In press;;;;;;;;;;;;;;;;;;10.1016/j.jcv.2016.04.005;;;;;;;;;
Mahamoud Y. S., Aite M., Martin C., Zhadobov M., Sauleau R., Le Dréan Y., Habauzit D.;2016;;Additive effects of millimeter waves and 2-deoxyglucose co-exposure on the human keratinocyte transcriptome;PLoS ONE;;11;;;;;;e0160810;;;;;;;;;;;;;;;;;;10.1371/journal.pone.0160810;;;;;;;;;
Mandin C., Mercier F., Ramalho O., Lucas J.-P., Gilles E., Blanchard O., Bonvallot N., Glorennec P., Le Bot B.;2016;;Semi-volatile organic compounds in the particulate phase in dwellings: A nationwide survey in France;Atmospheric Environment;;;;;;;;In press;;;;;;;;;;;;;;;;;;10.1016/j.atmosenv.2016.04.016;;;;;;;;;
Marie-Laure R., Brochard C., Bajeux E., Laurent S., Viel J.-F., Robaszkiewicz M., Isabelle T., Bretagne J.-F., Bouguen G.;2016;;Mo1806 Natural History of Perianal Crohn's Disease: Long-Term Follow-Up on a Population-Based Cohort;Gastroenterology;;150;4;;;;;S781-S782;;;;;;;;;;;;;;;;;;10.1016/S0016-5085(16)32649-X;;;;;;;;;
Matrat M., Guida F., Mattei F., Cenée S., Cyr D., Fevotte J., Sanchez M., Menvielle G., Radoï L., Schmaus A., Woronoff A.-S., Luce D., Stücker I.;2016;;Welding, a risk factor of lung cancer: the ICARE study;Occupational and Environmental Medicine;;;;;;;;;;;;;;;;;;;;;;;;;;10.1136/oemed-2015-102964;;26865654;;;;;;;
Mattei F., Liverani S., Guida F., Matrat M., Cenée S., Azizi L., Menvielle G., Sanchez M., Pilorget C., Lapôtre-Ledoux B., Luce D., Richardson S., Stücker I.;2016;;Multidimensional analysis of the effect of occupational exposure to organic solvents on lung cancer risk: the ICARE study;Occupational and Environmental Medicine;;;;;;;;;;;;;;;;;;;;;;;;;;10.1136/oemed-2015-103177;;26911986;;;;;;;
Menvielle G., Fayossé A., Radoï L., Guida F., Sanchez M., Carton M., Cyr D., Schmaus A., Cenée S., Fevotte J., Delafosse P., Stücker I., Luce D.;2016;;The joint effect of asbestos exposure, tobacco smoking and alcohol drinking on laryngeal cancer risk: evidence from the French population-based case–control study, ICARE;Occupational and Environmental Medicine;;73;1;;;;;28-33;;;;;;;;;;;;;;;;;;10.1136/oemed-2015-102954;;26403532;;;;;;;
